1-4,Aamir,Aisha,Abdel
5-8,Ayub,Alimah,Awad
9-12,Binyamin,Badia,Dahhak
13-16,Efraim,Bisharah,Essa
17-20,Ibrahim,Chanda,Hanna
21-24,Ilyas,Daliya,Harbi
25-28,Ismail,Fatimah,Hassan
29-32,Jibril,Ghania,Isa
33-36,Jumanah,Halah,Kasim
37-40,Kazi,Kaylah,Katib
41-44,Lut,Khayrah,Khalil
45-48,Matta,Layla,Malik
49-52,Mohammed,Mina,Mansoor
53-56,Mubarak,Munisa,Mazin
57-60,Mustafa,Mysha,Musa
61-64,Nazir,Naimah,Najeeb
65-68,Rahim,Nissa,Namari
69-72,Reza,Nura,Naser
73-76,Sharif,Parveen,Rahman
77-80,Taimur,Rana,Rasheed
81-84,Usman,Shalha,Saleh
85-88,Yakub,Suhira,Salim
89-92,Yusuf,Tahirah,Shadi
93-96,Zakariya,Yasmin,Sulaiman
97-100,Zubair,Zulehka,Tabari
