1-4,Aiguo,Biyu,Bai
5-8,Bohai,Changying,Cao
9-12,Chao,Daiyu,Chen
13-16,Dai,Huidai,Cui
17-20,Dawei,Huiliang,Ding
21-24,Duyi,Jia,Du
25-28,Fa,Jingfei,Fang
29-32,Fu,Lan,Fu
33-36,Gui,Liling,Guo
37-40,Hong,Liu,Han
41-44,Jianyu,Meili,Hao
45-48,Kang,Niu,Huang
49-52,Li,Peizhi,Lei
53-56,Niu,Qiao,Li
57-60,Peng,Qing,Liang
61-64,Quan,Ruolan,Liu
65-68,Ru,Shu,Long
69-72,Shen,Suyin,Song
73-76,Shi,Ting,Tan
77-80,Song,Xia,Tang
81-84,Tao,Xiaowen,Wang
85-88,Xue,Xiulan,Wu
89-92,Yi,Ya,Xing
93-96,Yuan,Ying,Yang
97-100,Zian,Zhilan,Zhang
