1-4,Akira,Aemi,Abe
5-8,Daisuke,Airi,Arakaki
9-12,Fukashi,Ako,Endo
13-16,Goro,Ayu,Fujiwara
17-20,Hiro,Chikaze,Goto
21-24,Hiroya,Eriko,Ito
25-28,Hotaka,Hina,Kikuchi
29-32,Katsu,Kaori,Kinjo
33-36,Katsuto,Keiko,Kobayashi
37-40,Keishuu,Kyouka,Koga
41-44,Kyuuto,Mayumi,Komatsu
45-48,Mikiya,Miho,Maeda
49-52,Mitsunobu,Namiko,Nakamura
53-56,Mitsuru,Natsu,Narita
57-60,Naruhiko,Nobuko,Ochi
61-64,Nobu,Rei,Oshiro
65-68,Shigeo,Ririsa,Saito
69-72,Shigeto,Sakimi,Sakamoto
73-76,Shou,Shihoko,Sato
77-80,Shuji,Shika,Suzuki
81-84,Takaharu,Tsukiko,Takahashi
85-88,Teruaki,Tsuzune,Tanaka
89-92,Tetsushi,Yoriko,Watanabe
93-96,Tsukasa,Yorimi,Yamamoto
97-100,Yasuharu,Yoshiko,Yamasaki
