1-4,Adesegun,Abike,Adegboye
5-8,Akintola,Adesuwa,Adeniyi
9-12,Amabere,Adunola,Adeyeku
13-16,Arikawe,Anguli,Adunola
17-20,Asagwara,Arewa,Agbaje
21-24,Chidubem,Asari,Akpan
25-28,Chinedu,Bisola,Akpehi
29-32,Chiwetei,Chioma,Aliki
33-36,Damilola,Eduwa,Asuni
37-40,Esangbedo,Emilohi,Babangida
41-44,Ezenwoye,Fehintola,Ekim
45-48,Folarin,Folasade,Ezeiruaku
49-52,Genechi,Mahparah,Fabiola
53-56,Idowu,Minika,Fasola
57-60,Kelechi,Nkolika,Nwokolo
61-64,Ketanndu,Nkoyo,Nzeocha
65-68,Melubari,Nuanae,Ojo
69-72,Nkanta,Obioma,Okonkwo
73-76,Obafemi,Olafemi,Okoye
77-80,Olatunde,Shanumi,Olaniyan
81-84,Olumide,Sominabo,Olawale
85-88,Tombari,Suliat,Olumese
89-92,Udofia,Tariere,Onajobi
93-96,Uyoata,Temedire,Soyinka
97-100,Uzochi,Yemisi,Yamusa
