1-4,Alejandro,Adalina,Arellano
5-8,Alonso,Aleta,Arispana
9-12,Amelio,Ana,Borrego
13-16,Armando,Ascencion,Carderas
17-20,Bernardo,Beatriz,Carranzo
21-24,Carlos,Carmela,Cordova
25-28,Cesar,Celia,Enciso
29-32,Diego,Dolores,Espejo
33-36,Emilio,Elena,Gavilan
37-40,Estevan,Emelina,Guerra
41-44,Felipe,Felipa,Guillen
45-48,Francisco,Inez,Huertas
49-52,Guillermo,Isabel,Illan
53-56,Javier,Jacinta,Jurado
57-60,Jose,Lucia,Moretta
61-64,Juan,Lupe,Motolinia
65-68,Julio,Maria,Pancorbo
69-72,Luis,Marta,Paredes
73-76,Pedro,Nina,Quesada
77-80,Raul,Paloma,Roma
81-84,Ricardo,Rafaela,Rubiera
85-88,Salvador,Soledad,Santoro
89-92,Santiago,Teresa,Torrillas
93-96,Valeriano,Valencia,Vera
97-100,Vicente,Zenaida,Vivero
